filename,transcription,word,speaker
child-dog1.wav,a truck and a dog,dog,child
child-dog2.wav,tail peter's dogs,dog,child
child-dog3.wav,my dog,dog,child
child-dog4.wav,and there's the dog running away,dog,child
child-dog5.wav,and the dog going to hunt for someone,dog,child
child-dog6.wav,i was setting up the dogs and the cats,dog,child
child-dog7.wav,and the bees is trying to chase the dog,dog,child
child-dog8.wav,they wanna keep one for they see their dog and they come back and hug their dog,dog,child
child-dog9.wav,the dog was playing around with the bees and then the person who owned the dog and the frog um yelled out in the hole froggie,dog,child
child-dog10.wav,dog two dogs look at that,dog,child
child-dog11.wav,dog,dog,child
child-dog12.wav,the dog is licking him,dog,child
child-dog13.wav,yyy yyy a dog,dog,child
child-dog14.wav,you can do the dog,dog,child
child-dog15.wav,dog,dog,child
child-dog16.wav,gift for dog,dog,child
child-dog17.wav,dog,dog,child
child-dog18.wav,dog i'm gonna take your ball,dog,child
child-dog19.wav,bees dogs run away dog,dog,child
child-dog20.wav,i didn't buy cats and dogs mom bought it for me,dog,child
child-dog21.wav,a mommy dog eats a yyy a bone,dog,child
child-dog22.wav,only the dog is allergic to that,dog,child
child-dog23.wav,dog house,dog,child
child-dog24.wav,i'm gonna xxx i'm gonna change my mind yyy a dog,dog,child
child-dog25.wav,yyy yyy say i won't like to build a a nest near dog,dog,child
child-dog26.wav,i'm bert the white dog,dog,child
child-dog27.wav,that's why she makes poo_poo on the on on the dogs,dog,child
child-dog28.wav,and the dog was looking in there,dog,child
child-dog29.wav,yyy yyy mommy to say say that one yyy mommy yyy to say i want yyy to build a nest near dog,dog,child
child-dog30.wav,a baby dog a baby dog's done finished,dog,child
child-dog31.wav,he's a dog,dog,child
child-dog32.wav,shut my dog,dog,child
child-dog33.wav,dogs,dog,child
child-dog34.wav,telling the the dog to 'shh',dog,child
child-dog35.wav,xxx cats and dogs and bears,dog,child
child-dog36.wav,it's the dog,dog,child
child-dog37.wav,go to the turkey dog stand,dog,child
child-dog38.wav,a car a dog,dog,child
child-dog39.wav,no no what kind of dog food,dog,child
child-dog40.wav,hot dogs,dog,child
child-dog41.wav,he's a he's a he's a swimming dog,dog,child
child-dog42.wav,yyy the dog chased bees down he yelled for his frog,dog,child
child-dog43.wav,hi puppy dog,dog,child
child-dog44.wav,err she makes poo_poo xxx in her like dog,dog,child
child-dog45.wav,the dog and the boy fell off off the reindeer,dog,child
child-dog46.wav,dog,dog,child
child-dog47.wav,and he crawled and he seed if his frog was+in there and his dog jumped at that,dog,child
child-dog48.wav,the dog finds frogs and the boy,dog,child
child-dog49.wav,well one of us is willy the white dog,dog,child
child-dog50.wav,dog,dog,child
child-dog51.wav,dog,dog,child
child-dog52.wav,and he's yelling out to his dog and he's say and he's saying 'doggy' like that yyy,dog,child
child-dog53.wav,dog,dog,child
child-dog54.wav,and his dog,dog,child
child-dog55.wav,boy woke up dog wakes up woke up didn't see the frog in jar,dog,child
child-dog56.wav,dog,dog,child
child-dog57.wav,dog,dog,child
child-dog58.wav,i think his mommy's the the dog,dog,child
child-dog59.wav,he knocked over the now the dog he 's going in there i think and,dog,child
child-dog60.wav,he's on the dog,dog,child
child-dog61.wav,dog,dog,child
child-dog62.wav,are you the dog,dog,child
child-dog63.wav,the dog's jumping up to the beehive,dog,child
child-dog64.wav,the boy the dog found the boy,dog,child
child-dog65.wav,dog barking,dog,child
child-dog66.wav,hot dogs,dog,child
child-dog67.wav,dog,dog,child
child-dog68.wav,and the bees are trying to chase the dog,dog,child
child-dog69.wav,my dog jump in here,dog,child
child-dog70.wav,no they're all dogs,dog,child
child-dog71.wav,there's a dog,dog,child
child-dog72.wav,and the dog's sniffling,dog,child
child-dog73.wav,kittens and dogs,dog,child
child-dog74.wav,and the dog and the boy find the branch,dog,child
child-dog75.wav,look a dog with his toy,dog,child
child-dog76.wav,dog jump in here,dog,child
child-dog77.wav,xxx i'm a dog,dog,child
child-dog78.wav,but now they've lost their dog selmovich,dog,child
child-dog79.wav,i want to call puppy dog,dog,child
child-dog80.wav,ooh yyy dog,dog,child
child-dog81.wav,dog xxx,dog,child
child-dog82.wav,dog,dog,child
child-dog83.wav,dee dog,dog,child
child-dog84.wav,yyy dog,dog,child
child-dog85.wav,like dogs,dog,child
child-dog86.wav,banana's another nice dog too,dog,child
child-dog87.wav,here's a hot dog,dog,child
child-dog88.wav,i'll get you you big dog,dog,child
child-dog89.wav,and the dog slips out,dog,child
child-dog90.wav,luna dog,dog,child
child-dog91.wav,no dog isn't,dog,child
child-dog92.wav,a big dog,dog,child
child-dog93.wav,and he fell+in the water with+his puppy dog,dog,child
child-dog94.wav,my two dogs,dog,child
child-dog95.wav,ooh dog a ball,dog,child
child-dog96.wav,dog,dog,child
child-dog97.wav,you draw the her dog,dog,child
child-dog98.wav,i'll teach i'll train puppy dogs,dog,child
child-dog99.wav,the dog's looking into the bottle,dog,child
child-dog100.wav,dog,dog,child
child-dog101.wav,dog xxx,dog,child
child-dog102.wav,there i dropped the dog,dog,child
child-dog103.wav,dog,dog,child
child-dog104.wav,i wanna do the dog,dog,child
child-dog105.wav,yyy yyy dog outside,dog,child
child-dog106.wav,and then the dog was barking,dog,child
child-dog107.wav,dog,dog,child
child-dog108.wav,the dog is surprised and he's happy,dog,child
child-dog109.wav,he 's and then the bees went over to the dog because he knocked over his beehive,dog,child
child-dog110.wav,look yyy the problem is i think we need to find a dog book,dog,child
child-dog111.wav,the boy and the dog are looking at the frog,dog,child
child-dog112.wav,dog yyy,dog,child
child-dog113.wav,and the dog yyy yyy,dog,child
child-dog114.wav,they're getting out and the dog's swimming back,dog,child
child-dog115.wav,dog,dog,child
child-dog116.wav,a dog,dog,child
child-dog117.wav,the dog's name was bed_bed,dog,child
child-dog118.wav,dog xxx jump a in here,dog,child
child-dog119.wav,and the dog and a deer is trying to chase the doggy go xxx,dog,child
child-dog120.wav,the dog and the people are xxx xxx,dog,child
child-dog121.wav,they go to a farm to see a dog,dog,child
child-dog122.wav,dog,dog,child
child-dog123.wav,here's hot dog,dog,child
child-dog124.wav,the police officer's dog,dog,child
child-dog125.wav,the dog xxx banged down a beehive,dog,child
child-dog126.wav,the dog looked in a beehive but+he wasn't there,dog,child
child-dog127.wav,dog dog dog,dog,child
child-dog128.wav,how about you do the turkey dog stand,dog,child
